Fri May 19 10:22:53 2023    output.dat

         11997312 function calls (11960206 primitive calls) in 3.321 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8582    0.005    0.000    0.007    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/sim_result.py:319(data)
     8113    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     6801    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/collections/__init__.py:1108(__setitem__)
6801/1713    0.004    0.000    0.012    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/utils/parameters.py:74(__setitem__)
     3955    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/abc.py:117(__instancecheck__)
     3955    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     3770    0.000    0.000    0.000    0.000 {built-in method builtins.id}
3043/2854    0.002    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_collections_abc.py:986(update)
     2929    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/collections/__init__.py:1216(__len__)
 2392/186    0.002    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/copy.py:128(deepcopy)
     1959    0.001    0.000    0.001    0.000 {built-in method builtins.any}
     1632    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/copy.py:182(_deepcopy_atomic)
     1613    0.000    0.000    0.000    0.000 /opt/homebrew/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2157(_sum_dispatcher)
     1613    0.001    0.000    0.006    0.000 /opt/homebrew/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2162(sum)
     1613    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(sum)
     1512    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/prognostics_model.py:1151(<genexpr>)
     1486    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/utils/calc_error.py:158(<genexpr>)
     1171    0.001    0.000    0.023    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/prognostics_model.py:1088(check_iterable)
      972    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      760    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/copy.py:243(_keep_alive)
      738    0.000    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.10/3.10.8/Frameworks/Python.framework/Versions/3.10/lib/python3.10/copy.py:264(<genexpr>)
      660    0.001    0.000    0.002    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/battery_electrochem.py:58(update_qpSBmin)
      660    0.000    0.000    0.001    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/battery_electrochem.py:70(update_qpSBmax)
      651    0.000    0.000    0.002    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/thrown_object.py:108(output)
      630    0.000    0.000    0.011    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/prognostics_model.py:196(initialize)
      595    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/utils/containers.py:160(__contains__)
      593    0.005    0.000    0.011    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/thrown_object.py:99(next_state)
      415    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      389    0.002    0.000    2.027    0.005 /Users/aditummala/Desktop/prog_models/src/prog_models/prognostics_model.py:1096(calc_error)
      383    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      381    0.059    0.000    1.992    0.005 /Users/aditummala/Desktop/prog_models/src/prog_models/utils/calc_error.py:126(MSE)
      341    0.000    0.000    0.000    0.000 /opt/homebrew/lib/python3.10/site-packages/numpy/core/numeric.py:1873(isscalar)
      330    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/battery_electrochem.py:34(update_qpmin)
      330    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/battery_electrochem.py:40(update_qpmax)
      330    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/battery_electrochem.py:46(update_qnmin)
      330    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/battery_electrochem.py:52(update_qnmax)
      330    0.000    0.000    0.000    0.000 /Users/aditummala/Desktop/prog_models/src/prog_models/models/battery_electrochem.py:154(update_qSBmax)
      321    0.000    0.000    0.000    0.000 /opt/homebrew/lib/python3.10/site-packages/numpy/lib/function_base.py:866(_copy_dispatcher)
      321    0.000    0.000    0.000    0.000 /opt/homebrew/lib/python3.10/site-packages/numpy/lib/function_base.py:870(copy)
      321    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(copy)
      317    0.001    0.000    1.175    0.004 /Users/aditummala/Desktop/prog_models/src/prog_models/prognostics_model.py:1326(optimization_fcn)
